id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
9429,Colorado Springs East,Ellicott,United States,A50,KA50,38.87,-104.41,6145,-7,A
9430,Olds Didsbury Airport,Didsbury,Canada,,N,51.710833,-114.106111,3360,-7,A
9431,Sundre Airport,Sundre,Canada,,N,51.774722,-114.680833,3663,-7,A
9432,Buffalo-Depew Station,Depew,United States,,N,42.9074,-78.7266,676,-5,A
9433,South Bend Station,South Bend,United States,,N,41.678,-86.2876,722,-5,A
9434,Carroll Avenue NICTD Station,Michigan City,United States,,N,41.7133,-86.8677,630,-6,A
9435,Chicago Millennium Station,Chicago,United States,,N,41.8837,-87.623,620,-6,A
9436,St. Louis Gateway Transportation Center,St. Louis,United States,,N,38.6239,-90.2039,476,-6,A
9437,Kansas City Union Station,Kansas City,United States,,N,39.0865,-94.586,791,-6,A
9438,Alvarado Transportation Center,Albuquerque,United States,,N,35.0826,-106.6474,4970,-7,A
9439,San Francisco 4th and King St. Station,San Francisco,United States,,N,37.7763884,-122.3944444,15,-8,A
9440,Oakland Jack London Square Station,Oakland,United States,,N,37.7935,-122.2719,13,-8,A
9441,Downtown Mountain View Station,Mountain View,United States,,N,37.3943934,-122.075872,15,-8,A
9442,San Mateo Station,San Mateo,United States,,N,37.5683328,-122.3241667,15,-8,A
9443,Sunnyvale Station,Sunnyvale,United States,,N,37.3786106,-122.0308333,15,-8,A
9444,Millbrae Intermodal Terminal,San Mateo,United States,,N,37.6002772,-122.3866667,15,-8,A
9445,Cleveland Greyhound Station,Cleveland,United States,,N,41.5034,-81.6822,679,-5,A
9446,Issyk-Kul International Airport,Tamchy,Kyrgyzstan,РРљРЈ,UCFL,42.3527,76.4278,5426,6,N
9447,Crystal Airport,Minneapolis,United States,MIC,KMIC,45.06094,-93.35515,264,-05:00,CDT
9448,Clarke CO,Quitman,United States,23M,K23M,32.0517,-88.4434,320,-6,A
9449,Ellaidhoo,Ellaidhoo,Maldives,,N,4.005694444444444,72.9486111111111,0,5,N
9450,W. H. 'Bud' Barron Airport,Dublin,United States,DBN,KDBN,32.56439972,-82.98529816,94,-04:00,EDT
9451,Port Authority,New York,United States,,N,40.756667,-73.991111,33,-5,A
9452,Bus Terminal,Allentown,United States,,ATWN,40.605604,-75.462384,338,-5,A
9453,Binghamton Bus Terminal,Binghamton,United States,,BING,42.101438,-75.910431,850,-5,A
9454,William F. Walsh Regional Transportation Center,Syracuse,United States,,SYTC,43.0767,-76.1691,380,-5,A
9455,Union Station,Utica,United States,UCA,N,43.104167,-75.223333,456,-5,A
